Date,Symbol,Trader,Channel,isOpen,Asset,Type,Price,Amount,Price-current,Prices,Prices-current,Avged,STC-Amount,STC-Price,STC-Price-current,STC-Prices,STC-Prices-current,STC-PnL,STC-PnL-current,STC-PnL$,STC-PnL$-current,STC-Date,SL,TrailStats
2023-05-11 14:48:35.601000,TSLA_051223C175,EvaPanda#7872,analyst-alerts,1,option,BTO,0.3,1,0.3,,,,1.0,0.3,,0.3,,0.0,,0.0,,2023-05-11 15:22:12.956000,,"max:6.67% min:-23.33%|TS:0.2,-20.0%,$0.24,in 00:06:09"
2023-05-11 14:48:41.501000,AMD_051223C98,EnhancedMarket™#6078,analyst-alerts,0,option,BTO,0.62,25,0.64,,,,25.0,0.612,0.582,0.9/0.18,0.89/0.12,-1.29032258064516,-9.06250000000001,-20.0,-145.0,2023-05-12 09:48:55.282000,,"max:39.06% min:-81.25%|TS:0.2,10.94%,$0.71,in 00:28:53| TS:0.3,-3.13%,$0.62,in 00:31:28| TS:0.4,-18.75%,$0.52,in 01:01:22| TS:0.5,-46.88%,$0.34,in 18:41:18"
2023-05-11 15:36:06.017000,GETY_051223P5,skowih#0999,analyst-alerts,0,option,BTO,0.1,3,0.05,,,,3.0,0.1,0.05,0.1,0.05,0.0,0.0,0.0,0.0,2023-05-11 15:40:43.578000,,"max:0.0% min:-100.0%|TS:0.2,-100.0%,$0.0,in 00:00:47| TS:0.3,-100.0%,$0.0,in 00:00:47| TS:0.4,-100.0%,$0.0,in 00:00:47| TS:0.5,-100.0%,$0.0,in 00:00:47"
2023-05-11 15:40:47.581000,GETY_051223P5.5,skowih#0999,analyst-alerts,1,option,BTO,0.1,3,0.2,,,,,,,,,,,,,,,
2023-05-11 15:47:45.583000,SPXW_051123C4130,Cblast#2108,cb_challenge,0,option,BTO,0.9,2,1.2,,,,2.0,1.2,0.8,1.2,0.8,33.3333333333333,-33.3333333333333,60.0,-80.0,2023-05-11 15:56:09.442000,,"max:8.33% min:-79.17%|TS:0.2,-20.83%,$0.95,in 00:00:18| TS:0.3,-33.33%,$0.8,in 00:00:28| TS:0.4,-41.67%,$0.7,in 00:01:03| TS:0.5,-54.17%,$0.55,in 00:02:18"
2023-05-12 09:31:39.435000,DRMA,Oogway#9404,analyst-alerts,0,stock,BTO,3.4,200,3.43,,,,200.0,3.535,3.47,3.63/3.44,3.58/3.36,3.97058823529413,1.16618075801749,27.0000000000001,8.00000000000001,2023-05-12 09:34:40.468000,,max:6.41% min:-1.75%|
2023-05-12 09:35:42.642000,BABA_051923P84,tradewithnando#7294,analyst-alerts,0,option,BTO,1.74,3,1.87,,,,3.0,2.05,2.05,2.05,2.05,17.816091954023,9.62566844919785,92.9999999999999,53.9999999999999,2023-05-12 10:22:57.352000,,max:9.09% min:-9.09%|
2023-05-12 09:37:43.227000,NVDA_051223C290,EvaPanda#7872,analyst-alerts,0,option,BTO,0.74,1,0.75,,,,1.0,0.38,0.36,0.38,0.36,-48.6486486486486,-52.0,-36.0,-39.0,2023-05-12 09:49:02.672000,,"max:6.67% min:-56.0%|TS:0.2,-18.67%,$0.61,in 00:01:32| TS:0.3,-30.67%,$0.52,in 00:01:42| TS:0.4,-37.33%,$0.47,in 00:06:47| TS:0.5,-46.67%,$0.4,in 00:10:48"
2023-05-12 09:42:19.473000,DRMA,Oogway#9404,analyst-alerts,0,stock,BTO,3.24,200,3.3,,,,200.0,3.1,3.1,3.1,3.1,-4.32098765432099,-6.06060606060605,-28.0,-40.0,2023-05-12 09:45:56.454000,,max:1.52% min:-7.88%|
2023-05-12 09:43:20.851000,SPXW_051223C4160,Cblast#2108,cb_challenge,0,option,BTO,2.6,1,2.75,,,,1.0,1.8,1.75,1.8,1.75,-30.7692307692308,-36.3636363636364,-80.0,-100.0,2023-05-12 09:48:31.489000,,"max:3.64% min:-36.36%|TS:0.2,-18.18%,$2.25,in 00:01:20| TS:0.3,-30.91%,$1.9,in 00:04:39"
2023-05-12 09:49:53.846000,SPXW_051223P4100,AVI#9896,analyst-alerts,0,option,BTO,1.15,4,1.5,,,,4.0,1.75,1.6,1.75,1.6,52.1739130434783,6.66666666666667,240.0,40.0,2023-05-12 10:02:12.195000,,"max:20.0% min:-36.67%|TS:0.2,-20.0%,$1.2,in 00:01:11| TS:0.3,-30.0%,$1.05,in 00:01:22"
2023-05-12 09:51:45.942000,QQQ_051223C327,Cedar#9754,analyst-alerts,0,option,BTO,0.5,10,0.6,,,,10.0,0.32,0.25,0.32,0.25,-36.0,-58.3333333333333,-180.0,-350.0,2023-05-12 10:04:47.783000,,"max:6.67% min:-60.0%|TS:0.2,-30.0%,$0.42,in 00:08:15| TS:0.3,-30.0%,$0.42,in 00:08:15| TS:0.4,-38.33%,$0.37,in 00:09:25| TS:0.5,-46.67%,$0.32,in 00:09:50"
2023-05-12 09:53:16.564000,SPXW_051223C4170,Cblast#2108,cb_challenge,0,option,BTO,0.68,6,0.78,0.75/0.35,0.85/0.4,1.0,6.0,0.2,0.15,0.2,0.15,-70.5882352941177,-80.7692307692308,-288.0,-378.0,2023-05-12 10:36:12.381000,,"max:8.97% min:-80.77%|TS:0.2,-23.08%,$0.6,in 00:06:43| TS:0.3,-48.72%,$0.4,in 00:06:48| TS:0.4,-48.72%,$0.4,in 00:06:48| TS:0.5,-48.72%,$0.4,in 00:06:48"
2023-05-12 10:13:22.146000,QQQ_051223C327,Cedar#9754,analyst-alerts,0,option,BTO,0.3,17,0.31,,,,17.0,0.11,0.04,0.11,0.04,-63.3333333333333,-87.0967741935484,-323.0,-459.0,2023-05-12 12:29:27.158000,,"max:3.23% min:-87.1%|TS:0.2,-19.35%,$0.25,in 00:08:14| TS:0.3,-29.03%,$0.22,in 00:16:39| TS:0.4,-38.71%,$0.19,in 00:17:09| TS:0.5,-48.39%,$0.16,in 00:22:04"
