Date,Symbol,Trader,Channel,isOpen,Asset,Type,Price,Amount,Price-current,Prices,Prices-current,Avged,STC-Amount,STC-Price,STC-Price-current,STC-Prices,STC-Prices-current,STC-PnL,STC-PnL-current,STC-PnL$,STC-PnL$-current,STC-Date,SL,TrailStats,STC-xQty
2023-06-09 11:42:20.533000,SPXW_060923C4310,cblast,cb_challenge,0,option,BTO,4.0,1,4.1,,,,1.0,2.45,1.7,2.45,1.7,-38.75,-58.5365853658537,-155.0,-240.0,2023-06-09 12:02:47.639000,,"| min,-60.98%,$1.6,in 00:20:00| max,14.63%,$4.7,in 00:01:54| | TS:0.2,-7.32%,$3.8,in 00:04:24| TS:0.3,-17.07%,$3.4,in 00:09:34| TS:0.4,-26.83%,$3.0,in 00:10:29| TS:0.5,-36.59%,$2.6,in 00:14:35",
2023-06-09 12:05:12.729000,SPXW_060923C4325,cblast,cblast-100-challenge,0,option,BTO,0.35,1,0.45,,,,1.0,0.25,0.2,0.25,0.2,-28.5714285714286,-55.5555555555556,-10.0,-25.0,2023-06-09 12:27:45.448000,,"| min,-44.44%,$0.25,in 00:21:50| max,22.22%,$0.55,in 00:00:53| | TS:0.2,0.0%,$0.45,in 00:01:18| TS:0.3,-11.11%,$0.4,in 00:03:08| TS:0.4,-22.22%,$0.35,in 00:04:59| TS:0.5,-33.33%,$0.3,in 00:18:45",
2023-06-09 12:05:26.655000,SPY_060923C430,cedar9754,analyst-alerts,0,option,BTO,0.45,12,0.56,,,,12.0,0.34,0.28,0.34,0.28,-24.4444444444444,-50.0,-132.0,-336.0,2023-06-09 12:27:44.892000,,"| min,-50.0%,$0.28,in 00:21:51| max,5.36%,$0.59,in 00:12:15| | TS:0.2,-21.43%,$0.44,in 00:03:14| TS:0.3,-25.0%,$0.42,in 00:17:51| TS:0.4,-35.71%,$0.36,in 00:20:31| TS:0.5,-46.43%,$0.3,in 00:21:46",
2023-06-09 12:08:22.183000,SPXW_061223P4250,AVI#9896,analyst-alerts,0,option,BTO,1.37,7,1.51,1.6/0.8,1.75/0.9,1.0,7.0,1.22857142857143,0.29,2.0/0.2,0.29,-10.3232533889468,45.0,-99.0000000000002,270.0,2023-06-12 10:16:57.485000,,"| min,-96.69%,$0.05,in 3 days 03:51:20| max,42.38%,$2.15,in 00:19:11| | TS:0.2,-3.97%,$1.45,in 00:06:29| TS:0.3,9.27%,$1.65,in 00:22:31| TS:0.4,-0.66%,$1.5,in 00:41:38| TS:0.5,-10.6%,$1.35,in 00:51:39",
2023-06-09 12:10:07.092000,QQQ_060923C354,dcruz,analyst-alerts,0,option,BTO,0.88,10,0.86,,,,10.0,1.15,1.04,1.15,1.04,30.6818181818182,20.9302325581395,270.0,180.0,2023-06-09 12:18:07.951000,,"| min,0.0%,$0.86,in 00:00:05| max,36.05%,$1.17,in 00:07:30| | ",
2023-06-09 12:11:34.927000,AAPL_060923C180,ghost878.,analyst-alerts,0,option,BTO,1.3,2,1.43,,,,2.0,1.52,1.485,1.56/1.48,1.5/1.47,16.9230769230769,3.84615384615384,44.0,11.0,2023-06-09 12:21:46.436000,,"| min,-6.29%,$1.34,in 00:01:26| max,11.89%,$1.6,in 00:06:07| | ",
2023-06-09 12:12:08.304000,QQQ_060923C355,cedar9754,analyst-alerts,0,option,BTO,0.49,10,0.52,,,,10.0,0.35,0.25,0.35,0.25,-28.5714285714286,-51.9230769230769,-140.0,-270.0,2023-06-09 12:27:33.434000,,"| min,-50.0%,$0.26,in 00:15:25| max,23.08%,$0.64,in 00:05:34| | TS:0.2,1.92%,$0.53,in 00:06:54| TS:0.3,-9.62%,$0.47,in 00:10:05| TS:0.4,-17.31%,$0.43,in 00:11:05| TS:0.5,-28.85%,$0.37,in 00:11:50",
2023-06-09 12:30:56.211000,SPXW_060923C4310,cblast,cb_challenge,0,option,BTO,1.3,5,1.6,,,,5.0,1.5,1.45,1.5,1.45,15.3846153846154,-9.37500000000001,100.0,-75.0000000000001,2023-06-09 12:56:16.487000,,"| min,-37.5%,$1.0,in 00:09:34| max,15.62%,$1.85,in 00:21:10| | TS:0.2,-15.62%,$1.35,in 00:04:33| TS:0.3,-25.0%,$1.2,in 00:05:48| TS:0.4,-31.25%,$1.1,in 00:07:13",
2023-06-09 12:43:23.885000,SPY_060923C430,cedar9754,analyst-alerts,0,option,BTO,0.34,15,0.36,,,,15.0,0.68,0.59,0.68,0.59,100.0,63.8888888888889,510.0,345.0,2023-06-09 13:52:10.354000,,"| min,-11.11%,$0.32,in 00:04:06| max,138.89%,$0.86,in 01:04:01| | TS:0.2,2.78%,$0.37,in 00:12:02| TS:0.3,33.33%,$0.48,in 00:32:24| TS:0.4,30.56%,$0.47,in 00:36:34| TS:0.5,22.22%,$0.44,in 00:36:39",
2023-06-09 13:03:57.873000,NFLX_060923C425,evapanda,analyst-alerts,0,option,BTO,0.94,1,0.9,,,,1.0,1.77,1.65,1.77,1.65,88.2978723404255,83.3333333333333,83.0,75.0,2023-06-09 13:25:16.526000,,"| min,0.0%,$0.9,in 00:00:03| max,100.0%,$1.8,in 00:21:05| | TS:0.2,27.78%,$1.15,in 00:02:59| TS:0.3,18.89%,$1.07,in 00:03:49| TS:0.4,10.0%,$0.99,in 00:04:47",
